Place,Level 0,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8,Level 9,Level 10
1,naam1,yes,,ok,adfafa,jafdkjd,fdaf,yes,fadfadfafadf,,fdafadfadfad
2,naam2,,,yes,naam1,yesyes,naam1,yeeeewees,f,yes,yeeeesssss
3,naam3,,naam1,ok,naam2,f,naam2,naam1,ok,bosssss,yeeees
4,naam4,yes,naam2,afdafd,naam3,naam1,naam3,yes,yeet,naam1,
5,naam5,naam1,naam3,ezclappers,naam4,naam2,naam4,yeeeeeees,naam1,naam2,yes
6,naam6,gaf,e,naam1,naam5,naam3,naam5,yeees,naam2,naam3,yesnt
7,naam7,Bob,naam4,naam2,naam6,naam4,naam6,,naam3,naam4,
8,naam8,yeeeees,naam5,naam3,naam7,naam5,naam7,cas,naam4,naam5,yeet
9,naam9,yeees,naam6,naam4,naam8,naam6,naam8,kaas,naam5,naam6,yes
10,naam10,yeeees,naam7,naam5,naam9,naam7,naam9,oio9ik9ki9,naam6,naam7,naam1
